title,company,location,snippet,link,source
"AI Engineer, Germany - BCG X",Boston Consulting Group,60325 Frankfurt am Main,Apply software development practices and standards to develop robust and maintainable software. Experienced at guiding non-technical teams and consultants in…,https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad1FFWZOsBBwBZDGouyCcICeLSd3pQct3wJ1q5dPO7JM6xIDFhe-9PMmhBQaLSbV8riKJqEfqrb1nrDeIoFc41OP2tDv98UMkFhnq25bs_kCKrHJ8vKBznsUuT1FNqZiaS9s1_VDDUo-1OWIWeluXFtuIcwCJS4tOUT1PwBORltPSPS718MjrlXjfQF1sSj_zRzU44cRu9id5ws3eDLufyZCM7lpdwl4u_n2T27JwXV47G7mblcaMr8L8MayADIQjoitHB8eCkAX_xBE_FNcoYam851p1-W_lafEWLjHJaD6y9qV3GABpLeIUfGvTW14SKtsk45WdXOQy1691or5uhTVi3RrS9uEkL0MnP_AEXRptrviLYs0PZLn29hdoVetnlnIP65w6dai0BRJC2QeTl0tcFL_zVWXPGjNXEbDu8Jt5AWtXiyUxJ33v9NMJH3picayFMQlXZal8xHnEdYNbblJqXpWKOnkLQVkfDBZDxXRKdXwbvRVVHcSKx_1seHL4De_vH9iON4hYkj5mjwW9xuU14Hy7S1gRjISUEJgRmkIUReOMBVlxXpuDu-YQ0iq_WlyXQT9Z7oPUr9DPblxkNgaHbg4gZyR3Ted4jYqxDsaxkjtyAF-lhi0p2zSrPVpm_sJzx2xZrr59Jjl4CwBhUN4APcmU0oq2Q8yJ9Qatnyq6pHpAFXQghemsj7MA3H8fKZ3S5UFUy7ScK72C9gCv9-X_TrDjG-5fsuykjmf8E9rLA90MLFMGlbi893XjxUIM7m9g-txwALY-tK8MDwhRcSKHAq2z0e2SynbXvVUemYLRAST4qC9tnnPERv3OQitTHUYzBr3dgkv5tnMce3k6p5aMoefRqZdw7qUQy3vtcPJQpWeYvbztvp-0KeSg0CVVwTv4mef_7AWyQzftMWql9NYibjhcFyVJ_ZfxdoFktcauX4OUpSW_r4TsEJ2ib7DGsG6oOkKx9b9rJXkpgEVMhx_Q2AnoMha4CmD_H5VEAZJn6ennCPdy8uVHPtmFP1mJvZmXlCVE88r5b-_ilyjdw_RtwfU920LVyUUKcQHd_EZSvAYIrgauZiwSfY1onx2OrmPicm6v-veuivYwcckxSuL88m0D1DbX-tCiM1-Renkh2QR4HRAZj19l2EHWZXVZPAuyDEFBZWx7a8eiJiOE4P1qSn_SupGPqod9szMF9zpRcX7ACJpeguhEKNcnJmAQO4JOmNVJyFnsZTGwAbUrwNWHH2tSvHc4Ty_zyvSwR85o2wDoZ4UEw73QsXTJR7x9-jckqLqZUmvysXYV76EDbxKnu4HrFpk7Vo1NsMchSm1UZB1QS_E_u0oR7jQYYtCplTfXQihm0rYHzkFJcNgPsxoZ6Qpt7ZxrGSyftyd8zl0xqUg2XuecVNUvDtF8FRn4=&xkcb=SoAk6_M3y-PaWdTThB0LbzkdCdPP&camk=ethIe0s0hee0QuwepKIS7w==&p=0&fvj=0&vjs=3,html_fallback
Senior Backend Engineer - AI Agents,TrustYou,Homeoffice,"Collaborating closely with Product Management and Frontendengineersto deliver impactful features. Mentoring and supporting otherengineers, fostering a…",https://de.indeed.com/rc/clk?jk=37ddc13c80c6cdd5&bb=pduTrmG7zTwprOJYx47NrnlgcNd-5v2YGo9991qS-yw0rtrLY0QnmXOJUpOPum2O8FnO6EirSi3yBusk3naF10qrFC1NLfc3l68OUQCXkOh6hUzyoJxsplDCeF5di0InQSHdTvs1Mv0%3D&xkcb=SoBk67M3y-PaWdTThB0KbzkdCdPP&fccid=80db54ba53801faf&vjs=3,html_fallback
Machine Learning Engineer,ai|coustics,10178 Berlin,"Model development & deployment: Design, train, evaluate, optimize, and deploy deep learning models for speech enhancement—and more.",https://de.indeed.com/rc/clk?jk=4b77be7a79153d8c&bb=pduTrmG7zTwprOJYx47Nrnu2eIbLntisPYgW5v5f--2dgjFWc5-ByfoAfKLMGsJvvpux-rVhIM9ryFfxY_msgP1Z4RkgHGrJvfwL5GAINSnH8SWSz4xfUkzoWuxlncOGooWntM5SMgw%3D&xkcb=SoD567M3y-PaWdTThB0JbzkdCdPP&fccid=c0b1270ae0143c53&vjs=3,html_fallback
Frontend Engineer - AI (m/f/d),Ordio GmbH,Homeoffice in Deutschland,"Develop and ship user-facing features for our AI-powered SaaS platform, collaborating closely with designers, PMs, and MLengineersto bring intuitive, high-…",https://de.indeed.com/rc/clk?jk=d106394f2173518a&bb=pduTrmG7zTwprOJYx47NrplzbrGMopo4BQhbJlj4NryZxuFhod1L695TBX_Sg0EQaFeiupPOH_HqhOy8QQegyprDY0V9KIUAzn6YurVmUPEeB49ihwFNcIPtVurhkKQOFSfn4wFgXzo%3D&xkcb=SoBN67M3y-PaWdTThB0IbzkdCdPP&fccid=92a29f7c0e447e7c&vjs=3,html_fallback
AI Engineer (m/w/d),We4IT Management GmbH,28357 Bremen,"Skalierbare Cloud‑Lösungen umsetzen: Du bringst deine Builds sauber in Microsoft Azure zum Fliegen – sie sollen performant, zuverlässig und wartbar sein.",https://de.indeed.com/rc/clk?jk=d0d2c3fd4b0c680e&bb=pduTrmG7zTwprOJYx47NrrHHMAEcnnbEdSnxdCGapbc9v9nd8RxQbVOkWL3EprnEizn8cNlzGwWGld_NVBI_E-234lxHLFED5oCWW4_08hwE80fdx5Qa8Qco-M5gF25A12uR0n9fVOE%3D&xkcb=SoDD67M3y-PaWdTThB0PbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,html_fallback
AI Data Engineer (m/f/d) - with salary details,Covestro,51373 Leverkusen,"Among others, experts in material simulations and computational chemistry, laboratory automation, R&D data science, high-performance computing and quantum…",https://de.indeed.com/rc/clk?jk=7b97e51a005120f3&bb=pduTrmG7zTwprOJYx47Nrotcd2elX5NM6fumbo61069WTvsVYmI1O9PayaSQLUJES_FXzWwRCIR1eVumhO8hLi0WBJ_xHnV2Z2nyM7CVJ3Az3GNceGNn38eAJZjVKMJkYpYIlXoQENc%3D&xkcb=SoCV67M3y-PaWdzThB0LbzkdCdPP&fccid=a204805f388c4ee8&vjs=3,html_fallback
AI Platform Engineer (m/f/d),Sixt,München,"You create smart internal tools and automation that remove friction and helpengineersship faster and safer. You’ll have end-to-end ownership, real impact and…",https://de.indeed.com/rc/clk?jk=30b908ddf5c81f01&bb=pduTrmG7zTwprOJYx47NrtABttlF_WOhGjHr-CpsNa7FMMlslPueOE5wyu2hl2HylS_LgT43rbqPZo2GUCRiShkerBY53q0HUacoKBPwYcNXBJhWCFbSayYUgvmYDy2ieIKI6OqAlZ8%3D&xkcb=SoAh67M3y-PaWdzThB0KbzkdCdPP&fccid=1a70832a7b190a0a&vjs=3,html_fallback
Data Engineer - Data & AI Team - Europe (Remote),WebPros,Homeoffice in Köln,"Hi, I'm Kai, Director of Data Engineering at WebPros, and your future manager. I've been with WebPros for over 10 years, starting in controlling before…",https://de.indeed.com/rc/clk?jk=96708032a7d15977&bb=pduTrmG7zTwprOJYx47NrmgXUfPfzM4nVPoiM_sfNR4QEzcMyEVDNT_zUvrSB_5iL6uYvtYdyU-eUpvAJk9svsoQeDnZY2aerp4TzyMTAcVkHeAn0eldY0OhrZQY2kW7lMA3hRvobc4%3D&xkcb=SoC867M3y-PaWdzThB0JbzkdCdPP&fccid=218ec388394e48a9&vjs=3,html_fallback
GTM AI Automations Engineer,ElevenLabs,Homeoffice in Deutschland,"Millions of individuals use ElevenLabs to read articles, voice over their videos, and reclaim voices lost from disability.",https://de.indeed.com/rc/clk?jk=c47bb93b85f4fb84&bb=pduTrmG7zTwprOJYx47NrrRC6TMWxheG722Irkc4jht1tveVFUkdiuD1l8v6ShANrxZdi8-YPjOfuRKrdrYbGloMxt6q-3ciqnzMSKYjCWSMhxvUiTFEFrBBx-h6BhWyWeTchOdgozM%3D&xkcb=SoAI67M3y-PaWdzThB0IbzkdCdPP&fccid=56988072a570e921&vjs=3,html_fallback
(Senior) AI Engineer,Nelly Solutions,Hybrides Arbeiten in Berlin,"At least 5 years as a softwareengineer, with 2+ years inAI, machine learning, and data engineering. In a small, agile team, you'll work on developing cutting-…",https://de.indeed.com/rc/clk?jk=b8978703959ce587&bb=pduTrmG7zTwprOJYx47NrmsJY4DW4dgylXujjU2bDV-B6cVkMxHsFwhU3tyvLj0mQeTgWMPs2JSQC_FeyrBnIF4RkYphmTW1Tt-iuoTv_SxEsmh6WUH_JN6DrhuZFQQmPgIyvTQKs5A%3D&xkcb=SoCG67M3y-PaWdzThB0PbzkdCdPP&fccid=0ae39015db5fbe96&vjs=3,html_fallback
