title,company,location,snippet,link,source
Full Stack Engineer for OSS AI Startup,Rhesis AI GmbH,Hybrides Arbeiten in 13355 Berlin,"At RhesisAI, we empower organizations to develop and deploy GenAIapplications that meet high standards for reliability, robustness, and compliance.",https://de.indeed.com/rc/clk?jk=dc5de0eebed081bb&bb=l0gbKolHfO1DtAHb0XVru4lor-lHC647NjHDeWFPkEgGkbPbkmlxpY4hwVeP2s1TEyHm-AtG4YclE9nESGTomr0XdPMZ7RLJcHgX9BHfI2GPldH8KsDd5FlCo32YawWAe3XEmmJRkLM%3D&xkcb=SoC667M3y-PXKoxurR0LbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,html_fallback
AI & Process Engineer,HDI Global,Hannover,"Design und Umsetzung von Prompt-Flows und KI-Agenten zur automatisierten Analyse, Extraktion und Zusammenfassung von Schadeninformationen.",https://de.indeed.com/rc/clk?jk=153aca76b89a6fd2&bb=l0gbKolHfO1DtAHb0XVruxh4kmiPWqQWNp8_NXbBuNIElhMDZ1P5BTE1VyJNtjO4Rp5_4x71ZxxeJQ5OF9PyO9-SBb5MtjAwcWQgE8HwoOzqRzs2eZThr9_hrOt2iU_SoRVJ4j7_5n8%3D&xkcb=SoAO67M3y-PXKoxurR0KbzkdCdPP&fccid=2d5f904ac4aac5d8&vjs=3,html_fallback
Manual QA Engineer – Voice AI,Synthflow AI,Homeoffice in Berlin,We are looking for a meticulous and driven Manual QAEngineerto ensure the quality and reliability of our VoiceAIproducts.,https://de.indeed.com/rc/clk?jk=582d057bd18f2a01&bb=l0gbKolHfO1DtAHb0XVru7SV2IslxiL1y2XtedjVmVsbOYpB6ICL47TmnsMESrmhxo8e_vC59Xnd-4kUpY89FiQxWS3pZx_WvHwfOM-KqNRycerj8NVgFA6qPivVVzrh7FoN2tbOiyA%3D&xkcb=SoCT67M3y-PXKoxurR0JbzkdCdPP&fccid=dad0c3a5f3d6d93b&vjs=3,html_fallback
AI Compiler Engineer (Junior),RooflineAI GmbH,50827 Köln,You will work alongside other world classengineersto enable the full spectrum ofAIapplications across heterogeneous hardware platforms.,https://de.indeed.com/rc/clk?jk=39f083050dfddb8a&bb=l0gbKolHfO1DtAHb0XVru0hX4wJ6O_NcygDJBVrcfVfmkTZUXOVlieVSsPc3_3uxVFWetEoF4uH-ygkJ-J8UI2FZcEYr38qRm4JJbFKv0wyHjVKB7uOPmDBcqpEBAI3-Ns82fpq0dP0%3D&xkcb=SoAn67M3y-PXKoxurR0IbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,html_fallback
Junior Fullstack Engineer (AI),Tobit Software Laboratories AG,Ahaus,"Aber statt früh die unglaublichen Chancen der generativenAIzu erkennen und nutzen zu lernen, stehen viele Schulen und Universitäten dem Thema kritisch…",https://de.indeed.com/rc/clk?jk=ffce69fa4e43026f&bb=l0gbKolHfO1DtAHb0XVru3CLA1DLIqsN6dBLM7gBnwoNhYk4a92-qYmDGml_H4y-EJ4Bwt87y4UPs-eyc0JQvfVSEfZaf8qNTppLOyo7ph92OpI2k0Z6CIp4MkmVdEsskf5sq_XqnI4%3D&xkcb=SoCp67M3y-PXKoxurR0PbzkdCdPP&fccid=8171af90c572d4ee&vjs=3,html_fallback
"Senior Product Engineer AI (remote, UTC-3 to UTC+3)",Checkly,Homeoffice in Berlin,"Checkly helpsengineersbuild reliable products by unifying testing, monitoring and observability. We’re a remote-first startup that keeps things simple—low on…",https://de.indeed.com/rc/clk?jk=df8bb86f9474d6a1&bb=l0gbKolHfO1DtAHb0XVru304yHr87zTQzJW3oceLvvIfWot-E5NKb-1o8i8s77c9zXCQ1wRbvrVmP6N8BWruzAvyBnQpxRc99PPk7HdSFGAqUyu4AAkQxQ6r0xuOlDqXsPzKzd-cLJ4%3D&xkcb=SoAd67M3y-PXKoxurR0ObzkdCdPP&fccid=ce5622cd407d2ffa&vjs=3,html_fallback
Lead AI Engineer,JUPUS,Homeoffice,"As ourAIinitiatives grow, you'll work with the Head of Engineering to build your own team while remaining deeply involved in day-to-day coding and technical…",https://de.indeed.com/rc/clk?jk=acf5fba5f51ae9be&bb=l0gbKolHfO1DtAHb0XVru4xcgBtlRko955uThBqVDXE02NjNwdbe5KepK4H_zwARSaEDAGFBv4Y3oeWGJUTO9P9yg9G6zPJR7XGDfV7rGr6LqgODNjrEBuEHXqZ6R9YslhmK8KcqysA%3D&xkcb=SoCA67M3y-PXKoxurR0NbzkdCdPP&fccid=2f578c2d7e946966&vjs=3,html_fallback
Staff ML/AI Data Engineer,EMnify GmbH,Hybrides Arbeiten in Berlin,"In this high-impact, new role, you will partner with product, dataengineers, data scientists and data analysts to enable real-time, predictive insights and…",https://de.indeed.com/rc/clk?jk=474bacf11fcf4cd4&bb=l0gbKolHfO1DtAHb0XVru6pXW1TLt81PksKmYoa-QEaYBoC_6f4NFVwc7uzIGtgpeX2RYgkOeVQZiwMvlwTH57W7RqqpDkVuYsEue_CxSfYjA-AebU-5izue_WeC-qAYtLdEXUORKhY%3D&xkcb=SoA067M3y-PXKoxurR0MbzkdCdPP&fccid=b4faaf9a1901dbe2&vjs=3,html_fallback
Data Engineer (AI & Backend Support),AIFANO GmbH,Hybrides Arbeiten in Herford,"✅ Collaborating withAIengineersto integrate \*\*foundation models\*\* into enterprise workflows. Our focus is on leveraging the best foundation models, fine-…",https://de.indeed.com/rc/clk?jk=8403d748f751ad2b&bb=l0gbKolHfO1DtAHb0XVru6hOgi-4QBmjTrvLwSWHoPeU_8XKFJBtW8VXoIbuyeTS9kRUeXGAbOs3V4ezjJPhN5egK7quOIHLj3YOBsCdijf96fiRX065xrg-10YMmzOOh6qhnTF8cGs%3D&xkcb=SoDd67M3y-PXKoxurR0DbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,html_fallback
"AI Architect / Machine Learning Engineer (m,f,d)",Medirion,Hybrides Arbeiten in Duisburg,"To generate expansive datasets crucial for training advancedAIsystems. Design and deploy AI-based systems, optimizing operations for maximal integration and…",https://de.indeed.com/rc/clk?jk=6b5225b880ef5bbc&bb=l0gbKolHfO1DtAHb0XVru3CLA1DLIqsNrul4HFavmWBmnlCZeuou3dk4JF6GEDEohC5x7oYH3zmaIawxVMG_1RNUuNQH6654jcyhLZUu2SOzDmFFN-ctLeLWkgwYZrCaWQYmIP2O64E%3D&xkcb=SoBp67M3y-PXKoxurR0CbzkdCdPP&fccid=52b63150527b653a&vjs=3,html_fallback
Junior Cloud Engineer (Generative AI & LLM),Collaboration Betters the World,Deutschland,"Wir sind ein innovatives Team mit über 3.000 Mitarbeitern in 21 Ländern und führend in den Bereichen Strategie & Governance, Software-Engineering, Datenanalyse…",https://de.indeed.com/rc/clk?jk=46aa2b30d311d1b9&bb=l0gbKolHfO1DtAHb0XVru7vfA2YAJz7xeATPWwL5THKMcOc_s9_Znan491A-jZr_3DtZiWqb9YqdY5FmTXYpEs03JHK4kQIo8usoL4Fz06Hqk36qyCOpgXiX4dsgrDxXJ8IDp4NRyOs%3D&xkcb=SoD067M3y-PXKoxurR0BbzkdCdPP&fccid=0a69746d5e1c76c1&vjs=3,html_fallback
Senior AI Engineer (LLM & Training Focus),welevel GmbH,München,Innovative Technology: Work with the latest tools and technologies to push boundaries and make the impossible possible. Competitive salary and benefits package.,https://de.indeed.com/rc/clk?jk=e9fbb5561c2fd90a&bb=l0gbKolHfO1DtAHb0XVru251WY8diC_fBe7f1uHnGYwRlyW8dowThWyA6-QMgoWFaYpL3LLwnwW_A9wr7qtivwbk92RPdHOh1gRmmcQeVos6Tj8T-NOSPZTw7apdv0waOzwrjQLxsJI%3D&xkcb=SoBA67M3y-PXKoxurR0AbzkdCdPP&fccid=c77979a497476b6b&vjs=3,html_fallback
Machine Learning Engineer (all genders),Avelios Medical GmbH,München,"Degree in Informatics, Computer Science, or a related field — or equivalent practical experience. Hands-on experience with PyTorch, TensorFlow, or Keras.",https://de.indeed.com/rc/clk?jk=4666df9c8b310d03&bb=l0gbKolHfO1DtAHb0XVru9ulVEZQ0SScx0kwjULzVGClJvIy9fIyVlDGmM5XTzuHC9PrKEK8Jfca0vShwX355aZejTYAvbAdSlcHY3YoqWqUA-cqAtZ-8LymHZo5Dq5BkfqGjqpBFJQ%3D&xkcb=SoDO67M3y-PXKoxurR0HbzkdCdPP&fccid=ab98b8c85db713f3&vjs=3,html_fallback
AI Engineer / AiOps (m/w/d),Diehl Group,Nonnweiler,"In dieser Position entwerfen, implementieren und optimieren Sie Machine Learning Modelle zur Unterstützung unserer Geschäftsziele.",https://de.indeed.com/rc/clk?jk=a99c3d01f107eabb&bb=l0gbKolHfO1DtAHb0XVru6pXW1TLt81PUFCPlxmCxVVBdCAIp6-OwXWfyZuKyPBQGJ7ORyG_JfJY1-E-9JtvFdNqCWflCW7dmZdUb8mqnNZlbAFRXbOAfHmXS3LHT3p6Ps6kvv2mOz8%3D&xkcb=SoB667M3y-PXKoxurR0GbzkdCdPP&fccid=a2f9e22ff406275b&vjs=3,html_fallback
Working Student Frontend Engineer - Research AI (m/f/d),Statista,Hybrides Arbeiten in Hamburg,"Support the development of Statista’s ResearchAItool, helping users access our data through innovative AI-powered features. Hybrid work and flex-time.",https://de.indeed.com/rc/clk?jk=207bcb774d650dbf&bb=l0gbKolHfO1DtAHb0XVru_Q2CawrzPR2jSal_cMRy0gc2I0qFLoBOZzpfjWSprIMPqMij5pymhTObPZ92fZQCDitwR9b421nEG1R0RQkCCvNgVfrlD8jn6m_biTcYsqjnlfb-qz0aO8%3D&xkcb=SoDn67M3y-PXKoxurR0FbzkdCdPP&fccid=539428c214ed9c84&vjs=3,html_fallback
