title,company,location,snippet,link,source
Frontend Staff Software Engineer,Independent Recruiters,Hybrides Arbeiten in Berlin,"Mentor junior and mid-levelengineers, fostering a collaborative and growth-oriented environment. A rapidly growing AI-driven SaaS company is looking for an…",https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A7B7Tvtca_LWbLo3LRq9dznpK6yYztYBRXJcub_UvMmowe7lDFHk4RlpI2vU0AWfARrF_w3G_sTCyopB4pMVYoj3u7UMeP8QfzDd_dnjFM63SgXzHfz5XDpZoSgQdRZW7yP3OZ7OXhQve7KTv1nroK2KdVi7WZHhnPpUFiYKGUQs16S1kQ4pgywpgrzcGaP34U6yskgHYlW-7L6JnWJ04foNNFXfZcrjU-mTbIcVx4t-bj0S0-tllVzof846FZS8wtjEuac_uLaO03il7H6lSuL29IpL6UtHMmWj_xi-RawwYchDohOtg2Z_GVEZyDkcJbzNVMbKhtA4QL7BoGTOInMUKyV7F-kb5DOuZajem0XJaFKBPBsiWQfry9Ud-X4H5WaVEa7WsWyRDRyYNAtJ2aVDdZsbXUsjMWgeYEBKlsHbPuu-TK2goFSzHeFlOYfxyP7n6smY9Mp3h3Cj7URsss59Uy6J8OwHrJCyS_kKnVaHSPHc2Pa6eCnl4rEqnV-hf8y0BIDixJ1QYOwzveMi__HD8_-riGwa5-_uY2SpEUlXCrzwS99T8MDmftJul2OGn5lBI9FEU_YdPcgxthTEjABDDYnwDgd2c5juyQorw78QUBS_bly_cor5QHg-DpJuvQl-eQjinAqy3da_yIA0JHD51IHiKP-SX6nLTKBRU_nDOIwpH_N34mr7EExz7z2QHdA39e7wRlKOoPmNeDO0JLUQIeF8_Yl0aPgJI9L5jCSKssPnRyvrta7dTK284FhzSwdztzsZZewcv4Cdy6aCgD_quk88b4vhZS69PfertMYfNHX4Q58MTCiTiVrnvYV6eM3ofCz-fierufuGWUHpml7pkbRip8d6TecDgghz3aXFSYZI3zEDU8hjlHgMTX1x7_xiBaD8WCgWnmICvBCuK6roElhINocAOBp8_TiWZryA==&xkcb=SoAC6_M3y-PdFd2OLh0LbzkdCdPP&camk=f416UQcMBpDl4S4XyoZThg==&p=0&fvj=0&vjs=3,html_fallback
(Junior) Design Engineer / Mechatronics Engineer Robotics (m/f/d),HandsOn Robotics,Dresden,"By designing innovative robotic automation systems and integrating advanced robotics solutions, you will directly contribute to bringing our products to life…",https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C6M09IJx0DGcE9smbE0tsQRe8sknzRZ0utRzZ-ZyL5Kzf6xkU0WCtIZqUmbbZa9H7SFgjnl6ptTJI0CRLILWrHekxnUCz3Z5uggM5_kJD35IOLB4EEj0yoVoW2JIrv5xbdyESwi2525fgk8ZPYD0lPxkx6PSnZ_37V7ypANK8PjxdrzXaPWnz2WYIK1qXimWz2Dk05FSsO529nlGxVzdDEavsRgDkfYny1iGe5oxZxmkEgtgdft8eicDzkM6YuVjcYXF0WahYWrtnFh-oxBCXzCGtT6rgcsWp6vW_uKlhGcRONBqNqWYr8v3qI3SakcI6B2VNGnjiGAqn4G4JJkCfhyvm-W5s_Bq5B5ITD0lui-_mvQuSBejN0gVRsNggRxH6l1fLgxNi2rrRQVT2pPBtSE3b3Sob-MA6AuHzotbT22XXqrY7TLEhI9tBQ5okcT3L4rGv4XzqGysZ5sXiznSGFolmqi5stKk9ZN16WsZ9SWqHj3yjXFvat9wuh2I3ZlQvmYEeocbjN-h5kanzXi8r9sJC_6Tiqr-IlZE4bvZu0KhPdhfZdak6EwGly2Of9o1kLWeE3a6NPlZZX3whmRmFWQujOIa_brxj1UdYlRNQn2V1Al98xM4SQmqm8RITn9Gsq5SidwrjmYkb_pimOV7ma5txF4Lg6cG-AFbC6bWIYnPu0AIm61fqZ&xkcb=SoC26_M3y-PdFd2OLh0KbzkdCdPP&camk=ethIe0s0hecsbLDK2cIL9w==&p=1&fvj=0&vjs=3,html_fallback
"AI Engineer, Internship, Germany - BCG X",Boston Consulting Group,München,Apply software development practices and standards to develop robust and maintainable software. Experienced at guiding non-technical teams and consultants in…,https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad1FFWZOsBBwBZDGouyCcICeLSd3pQct3wJ1q5dPO7JM6xIDFhe-9PMmhBQaLSbV8riKJqEfqrbzndxeVjjVYQAVbmdIpWL5gGLj2yvwHSGNDsw5TsU1L-aCd-alFieBye1Difeh32QtHAcnf4pOupVRmd_xU-S5KaVTMYrkSW5nj73GXlj6_bulbZJyN3caylnoYPCMFQ6dzR0anYXJVXkmNn2kqMMAHILdrgGzKYQARSlnWaIVz8iQYwq_ewHrzIscQuYRyQ31fDEjgba4u1VVlFNF4FmIHCpbsB9qfHV6wkLv6-EQIxzlEfItBiop0QQr8msN0mz5JD_5GrKYElzNEcZKSt7qcnltQR0XFGqGBHaMrWovOZNatoYmqIhQeI0xpFOt_FORZsyzid-bRhem8klDktX86_3m7NMapQ2lb_dM_nq-XLolRNY1rHnWsDLCUcHj5ix0oB4Ej8i44BkilZNjZYOJWLNnjOZj_Hwcej7f4du6nI1RxLVNRtjTH_qQEe4WeEHMj20gkJeoNDYjRzX10Xgu16M2d5iN9QYc8yDbWjPhK5Ui5Pv8DiLCFooqGemu-4MZ0FpYRGyXScOY01GdGhvkTvbBNQiXQVFREP3Y6J7gs9mh6jQ9JeJgboxVfQ3wypNwi0N_qmbApZISnBANlbWRaMi0THBV3HIbvgewayOIqLMm4wFC-k4RETALdEkYAXCvqP0z0nRD07xZzT_gKBlU66NK0uyQrbe1nLJw7k4wXDSPS4bFrw-XtZG5m-1-RcN5t9mWyquCZZggB9A4cczur7tv8dbmEHjBhwUaQIKqOd1-HyUKFaCiSp3Kt7MBV1DuVI2wE0Gz_TiWQqha3UwJiiR7jiFyyruNPfqxTSJn26zDJwyfGWht4SEOR5JzFuyiRhFVl8aXukL0h9CtEHMKP5dc-UTEiskUaDAgcgiaeBLw7td8WdG56kgQskHas1OGKYIAv83flEyuLNXH9yz8PibgvKowx9IsvUnolxZSIcLYejnIJiw_97kX2yiv7zVERifaLxjFmct60CyqYWLuMGqCXLlYUue6bErAPUAzRPYWP6IZFqirmA4GXEvaa8b-ncBjnG9cOwja5HnD1yarOaGfF9CgKuQMECWxroxEJIDPlFUjiRmxw_DLqEsEXZO9mmeH_5WA0yUqB6-0wNDdK5FCtOwUZ1b24yEvCgcgA6uTQSZkQrXzoDEO61gQqqHVo0F6oRDbkTfUr68mm-yIDMJYjkRraOEjcb2IyGZc7K4HgZMwqvdgGWjwSh1XppdZxHc-yJGNVrGUZltiDPPeraJn7T_hTKNIS-302veIH4xvGKQ34_e4on9_eVB_s7JGyek2lbhSj_Z7o5wjIpY0RT-qoyJyi3DKiCO-LRhJ5X&xkcb=SoAr6_M3y-PdFd2OLh0JbzkdCdPP&camk=ethIe0s0hee0QuwepKIS7w==&p=2&fvj=0&vjs=3,html_fallback
AI Engineer (all genders),JUST ADD AI GmbH,Homeoffice,"Begeisterung für State-of-the-Art KI-Technologie und LLMs. Wir schauen nicht nur auf die blanken Zahlen, denn wir suchen insbesondere nach Menschen, die sich…",https://de.indeed.com/rc/clk?jk=30e2eeceb075cc14&bb=42g4a-amiqnK4eVgkpADqzE0b2_0vo-ltSWTuKUbXYOM7GJQIQWEEX_mXe6dCjTYTYIQ6uz-DtK1TxnhtqKTXWi_QHL-S3kS5Ie0EVdkYQb_L_MvZ1V3IHdf8whJskxndZs_bsQUQ1g%3D&xkcb=SoBr67M3y-PdFd2OLh0IbzkdCdPP&fccid=97662d159b5fb305&vjs=3,html_fallback
AI Engineer,KI group GmbH,Hybrides Arbeiten in München,"As aAIEngineer, you’ll work alongside experiencedengineersand researchers to design and implement intelligent systems that act, plan, and learn in…",https://de.indeed.com/rc/clk?jk=52296cc95193a7a0&bb=42g4a-amiqnK4eVgkpADqwzgzfTY61Q0BBmlaH3GBHoeJNn5-GQ_NK__jXhCvLNUSD88loDDpMGgefKCNa_uvEsPteKz816GXxKTTKwIMWXMWuvb3sRVmuUIn_vA3QU1Trb43kH0l44%3D&xkcb=SoDl67M3y-PdFd2OLh0PbzkdCdPP&fccid=56f6094a15f4c7d1&vjs=3,html_fallback
Computer Vision & AI Engineer,Logivations,80331 München,"Mentor and upskill our juniorengineers: share knowledge, review pull requests, host workshops. Logivations is looking for an experienced Computer Vision & AI…",https://de.indeed.com/rc/clk?jk=bd446c2004826255&bb=42g4a-amiqnK4eVgkpADqyrDPtTvfj4iT6VNZZWCXwO2YtLtFYdzZkm6W88DNdc6bwQnK4Szil7i1vw_cFWpFGfnXQCAUTU6CsAL-ef6X7pPvzeSyUXXMP_KkcJTmCICbSw3klVG6cE%3D&xkcb=SoBR67M3y-PdFd2OLh0ObzkdCdPP&fccid=454edf8fe2608180&vjs=3,html_fallback
AI Engineer (m/w/d),Kleeschulte Creative Manufacturing GbR,Paderborn,Dokumentation der aktuellen Entwicklung zur Vorbereitung der AI-Act Anforderungen. Implementierung vielfältiger KI-Lösungen zur Effizienzsteigerung in…,https://de.indeed.com/rc/clk?jk=015f3792ef0c20a1&bb=42g4a-amiqnK4eVgkpADq2ic9MCdPQE8SNmsZfHqMl_CG8qSQY9pPzHyVHENVL7TqYRe0dLWNF4IgHpv_532IKAzIiJ-I54A-v0-Jiv7zn-eS7FxqkmKS5ME7wXVFmrrtVTqRQy1NkY%3D&xkcb=SoDM67M3y-PdFd2OLh0NbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,html_fallback
"Staff Engineer, Developer AI, Machine Learning",Google,München,"Google's softwareengineersdevelop the next-generation technologies that change how billions of users connect, explore, and interact with information and one…",https://de.indeed.com/rc/clk?jk=a60ea1f39f78e533&bb=42g4a-amiqnK4eVgkpADq2yywxoWzVVOS5swO8sZ3NSz11Y8gAjMPu_OKoXANFRFy7GtZontMmXB4-trDnH816iVM5gsA-Uhhqfe9AVu60czYXbz-mzcg4Tqvm4Gdj8h6v7FTFKDxTE%3D&xkcb=SoB467M3y-PdFd2OLh0MbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3,html_fallback
AI Engineer (m/f/d),VEACT GmbH,81669 München,"You will work withAImodels, orchestration tools, APIs and data pipelines to bring intelligent agents to life in real-world contexts (like automotive, in your…",https://de.indeed.com/rc/clk?jk=f5db424f0fcb4823&bb=42g4a-amiqnK4eVgkpADq2DUtF9DkLwP9FgDFuVkJ76P9vKyZiCU8tbWQ9WBTPkJClyJShpP5omu0h-N0YJCT8gejFye4aHbkldb8i0-W-sa5j4h07gnAvcBQO9_VUKNSGK0r0JM8fI%3D&xkcb=SoCR67M3y-PdFd2OLh0DbzkdCdPP&fccid=e9fc59f4afbbe943&vjs=3,html_fallback
AI Engineer (m/w/d),INKUBIT Business Solutions GmbH,Homeoffice,Unser Full-Service-Ansatz umfasst den gesamten Anwendungslebenszyklus – von der ersten Beratung über die Implementierung bis hin zur laufenden Systempflege.,https://de.indeed.com/rc/clk?jk=a26134fccb3123c4&bb=42g4a-amiqnK4eVgkpADqzSszTz40ucnGaVfgvycvWgb_pIjHtn1u1UhsKynrM6PE0-7G0OZ57Ms2PX1xh9TYKJ8qgqQ9rmrbke06DsDSyJpVNVd5djeVClhp9x8RWYOD1zVwaOjM2g%3D&xkcb=SoAl67M3y-PdFd2OLh0CbzkdCdPP&fccid=ee299f905e955482&cmp=INKUBIT-Business-Solutions-GmbH&ti=Ingenieur&vjs=3,html_fallback
AI Engineer & Data Science Specialist (m/f/d),RSM Ebner Stolz Wirtschaftsprüfer Steuerberater...,Köln,"As anAIEngineer& Data Science Specialist, you will drive the development and integration of AI-powered applications using foundation models and modern AI…",https://de.indeed.com/rc/clk?jk=c77dd54c10523588&bb=42g4a-amiqnK4eVgkpADq4kY-tjgz3dIyQZl40MhXt93EsMy3K6EBWzVVdXYel3OXul_59mxAl-c1axIHaV6dMrm8bhyQ5N2132XOBImf5sraqfacE8k0bt74s4VWeb75--MktECwGM%3D&xkcb=SoC467M3y-PdFd2OLh0BbzkdCdPP&fccid=63c52a25a2ce9206&vjs=3,html_fallback
AI Engineer,autarc GmbH,10115 Berlin,"Founded in Berlin, autarc is a 30 person start-up who have just graduated from the Y Combinator in San Francisco. Urban Sports Club for fitness.",https://de.indeed.com/rc/clk?jk=abbe82db4ba84e03&bb=42g4a-amiqnK4eVgkpADq1K921U4Jt4P5PXJo0wge4fmKZu1qm2do4tLT7ikXgKW93JA09DsoVYPo7CC6jueJtgZS9SwDaorqHVxx5C1dTNAGMvXoHIOi4r1cFgMo5pmO1T2SW8ZPAc%3D&xkcb=SoAM67M3y-PdFd2OLh0AbzkdCdPP&fccid=a6d540eee03ef237&vjs=3,html_fallback
